DATAFLOW,FREQ,INDICATOR,REF_AREA,UNIT,TIME_PERIOD,OBS_VALUE
UNSD:DF_UNData_UNFCC(1.0),Annual,"Methane (CH4) Emissions without Land Use, Land-Use Change and Forestry (LULUCF)",Belgium,Gigagrams (Gg) CO2 equivalent,2001,9813.16602128983
UNSD:DF_UNData_UNFCC(1.0),Annual,"Methane (CH4) Emissions without Land Use, Land-Use Change and Forestry (LULUCF)",Belgium,Gigagrams (Gg) CO2 equivalent,2002,9412.36394138579
UNSD:DF_UNData_UNFCC(1.0),Annual,"Methane (CH4) Emissions without Land Use, Land-Use Change and Forestry (LULUCF)",Belgium,Gigagrams (Gg) CO2 equivalent,2003,8893.88642775352
UNSD:DF_UNData_UNFCC(1.0),Annual,"Methane (CH4) Emissions without Land Use, Land-Use Change and Forestry (LULUCF)",Belgium,Gigagrams (Gg) CO2 equivalent,2004,8836.14761361462
UNSD:DF_UNData_UNFCC(1.0),Annual,"Methane (CH4) Emissions without Land Use, Land-Use Change and Forestry (LULUCF)",Belgium,Gigagrams (Gg) CO2 equivalent,2005,8615.46267445585
UNSD:DF_UNData_UNFCC(1.0),Annual,"Methane (CH4) Emissions without Land Use, Land-Use Change and Forestry (LULUCF)",Belgium,Gigagrams (Gg) CO2 equivalent,2006,8528.95738190839
UNSD:DF_UNData_UNFCC(1.0),Annual,"Methane (CH4) Emissions without Land Use, Land-Use Change and Forestry (LULUCF)",Belgium,Gigagrams (Gg) CO2 equivalent,2007,8425.88640640865
UNSD:DF_UNData_UNFCC(1.0),Annual,"Methane (CH4) Emissions without Land Use, Land-Use Change and Forestry (LULUCF)",Belgium,Gigagrams (Gg) CO2 equivalent,2008,8258.82034866049
UNSD:DF_UNData_UNFCC(1.0),Annual,"Methane (CH4) Emissions without Land Use, Land-Use Change and Forestry (LULUCF)",Belgium,Gigagrams (Gg) CO2 equivalent,2009,8196.1811108021
UNSD:DF_UNData_UNFCC(1.0),Annual,"Methane (CH4) Emissions without Land Use, Land-Use Change and Forestry (LULUCF)",Belgium,Gigagrams (Gg) CO2 equivalent,2010,8172.28768321292
UNSD:DF_UNData_UNFCC(1.0),Annual,"Methane (CH4) Emissions without Land Use, Land-Use Change and Forestry (LULUCF)",Belgium,Gigagrams (Gg) CO2 equivalent,2011,7936.66153773417
UNSD:DF_UNData_UNFCC(1.0),Annual,"Methane (CH4) Emissions without Land Use, Land-Use Change and Forestry (LULUCF)",Belgium,Gigagrams (Gg) CO2 equivalent,2012,7893.97208529677
UNSD:DF_UNData_UNFCC(1.0),Annual,"Methane (CH4) Emissions without Land Use, Land-Use Change and Forestry (LULUCF)",Belgium,Gigagrams (Gg) CO2 equivalent,2013,7744.8930204543
UNSD:DF_UNData_UNFCC(1.0),Annual,"Methane (CH4) Emissions without Land Use, Land-Use Change and Forestry (LULUCF)",Belgium,Gigagrams (Gg) CO2 equivalent,2014,7598.56909865979
UNSD:DF_UNData_UNFCC(1.0),Annual,"Methane (CH4) Emissions without Land Use, Land-Use Change and Forestry (LULUCF)",Belgium,Gigagrams (Gg) CO2 equivalent,2015,7613.32564411345
UNSD:DF_UNData_UNFCC(1.0),Annual,"Methane (CH4) Emissions without Land Use, Land-Use Change and Forestry (LULUCF)",Belgium,Gigagrams (Gg) CO2 equivalent,2016,7575.57753143102
UNSD:DF_UNData_UNFCC(1.0),Annual,"Methane (CH4) Emissions without Land Use, Land-Use Change and Forestry (LULUCF)",Belgium,Gigagrams (Gg) CO2 equivalent,2017,7418.75238215927
UNSD:DF_UNData_UNFCC(1.0),Annual,"Methane (CH4) Emissions without Land Use, Land-Use Change and Forestry (LULUCF)",Belgium,Gigagrams (Gg) CO2 equivalent,2018,7344.98041454766
UNSD:DF_UNData_UNFCC(1.0),Annual,"Methane (CH4) Emissions without Land Use, Land-Use Change and Forestry (LULUCF)",Belgium,Gigagrams (Gg) CO2 equivalent,2019,7265.37841495616
UNSD:DF_UNData_UNFCC(1.0),Annual,"Methane (CH4) Emissions without Land Use, Land-Use Change and Forestry (LULUCF)",Bulgaria,Gigagrams (Gg) CO2 equivalent,1990,14622.9956744234
UNSD:DF_UNData_UNFCC(1.0),Annual,"Methane (CH4) Emissions without Land Use, Land-Use Change and Forestry (LULUCF)",Bulgaria,Gigagrams (Gg) CO2 equivalent,1991,13595.5544753827
UNSD:DF_UNData_UNFCC(1.0),Annual,"Methane (CH4) Emissions without Land Use, Land-Use Change and Forestry (LULUCF)",Bulgaria,Gigagrams (Gg) CO2 equivalent,1992,13262.1685124962
UNSD:DF_UNData_UNFCC(1.0),Annual,"Methane (CH4) Emissions without Land Use, Land-Use Change and Forestry (LULUCF)",Bulgaria,Gigagrams (Gg) CO2 equivalent,1993,12122.0287653035
UNSD:DF_UNData_UNFCC(1.0),Annual,"Methane (CH4) Emissions without Land Use, Land-Use Change and Forestry (LULUCF)",Bulgaria,Gigagrams (Gg) CO2 equivalent,1994,10146.3245557769
UNSD:DF_UNData_UNFCC(1.0),Annual,"Methane (CH4) Emissions without Land Use, Land-Use Change and Forestry (LULUCF)",Bulgaria,Gigagrams (Gg) CO2 equivalent,1995,10116.483687121
UNSD:DF_UNData_UNFCC(1.0),Annual,"Methane (CH4) Emissions without Land Use, Land-Use Change and Forestry (LULUCF)",Bulgaria,Gigagrams (Gg) CO2 equivalent,1996,10016.8139406219
UNSD:DF_UNData_UNFCC(1.0),Annual,"Methane (CH4) Emissions without Land Use, Land-Use Change and Forestry (LULUCF)",Bulgaria,Gigagrams (Gg) CO2 equivalent,1997,9659.08349081721
UNSD:DF_UNData_UNFCC(1.0),Annual,"Methane (CH4) Emissions without Land Use, Land-Use Change and Forestry (LULUCF)",Bulgaria,Gigagrams (Gg) CO2 equivalent,1998,9047.42295684329
UNSD:DF_UNData_UNFCC(1.0),Annual,"Methane (CH4) Emissions without Land Use, Land-Use Change and Forestry (LULUCF)",Bulgaria,Gigagrams (Gg) CO2 equivalent,1999,8571.07330667792
UNSD:DF_UNData_UNFCC(1.0),Annual,"Methane (CH4) Emissions without Land Use, Land-Use Change and Forestry (LULUCF)",Bulgaria,Gigagrams (Gg) CO2 equivalent,2000,8439.84137318424
UNSD:DF_UNData_UNFCC(1.0),Annual,"Methane (CH4) Emissions without Land Use, Land-Use Change and Forestry (LULUCF)",Bulgaria,Gigagrams (Gg) CO2 equivalent,2001,7731.58800719201
UNSD:DF_UNData_UNFCC(1.0),Annual,"Methane (CH4) Emissions without Land Use, Land-Use Change and Forestry (LULUCF)",Bulgaria,Gigagrams (Gg) CO2 equivalent,2002,7973.39200925266
UNSD:DF_UNData_UNFCC(1.0),Annual,"Methane (CH4) Emissions without Land Use, Land-Use Change and Forestry (LULUCF)",Bulgaria,Gigagrams (Gg) CO2 equivalent,2003,8554.41987684446
UNSD:DF_UNData_UNFCC(1.0),Annual,"Methane (CH4) Emissions without Land Use, Land-Use Change and Forestry (LULUCF)",Bulgaria,Gigagrams (Gg) CO2 equivalent,2004,8053.75039485239
UNSD:DF_UNData_UNFCC(1.0),Annual,"Methane (CH4) Emissions without Land Use, Land-Use Change and Forestry (LULUCF)",Bulgaria,Gigagrams (Gg) CO2 equivalent,2005,7665.74917367578
UNSD:DF_UNData_UNFCC(1.0),Annual,"Methane (CH4) Emissions without Land Use, Land-Use Change and Forestry (LULUCF)",Bulgaria,Gigagrams (Gg) CO2 equivalent,2006,7471.35790485921
UNSD:DF_UNData_UNFCC(1.0),Annual,"Methane (CH4) Emissions without Land Use, Land-Use Change and Forestry (LULUCF)",Bulgaria,Gigagrams (Gg) CO2 equivalent,2007,7446.86197702888
UNSD:DF_UNData_UNFCC(1.0),Annual,"Methane (CH4) Emissions without Land Use, Land-Use Change and Forestry (LULUCF)",Bulgaria,Gigagrams (Gg) CO2 equivalent,2008,7314.31086114013
UNSD:DF_UNData_UNFCC(1.0),Annual,"Methane (CH4) Emissions without Land Use, Land-Use Change and Forestry (LULUCF)",Bulgaria,Gigagrams (Gg) CO2 equivalent,2009,7124.57510757217
